yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	7.757981470020840e+00	2.520802519756523e-01	5.337750386162146e-01	3.661140876273152e+00	-3.585535455512295e+00	5.426753041444939e+03	8.961118602124866e+00
1	4.549657671425699e+00	2.359413016653717e-01	8.287262817899275e-01	4.602164615413820e+00	-4.618052729271984e+00	1.048832985735078e+04	5.633192570508984e+00
1	4.609453830709715e+00	2.583322434104720e-01	4.337143819690525e+00	-2.141737376521286e+00	-1.956681213263976e+00	1.346645740349000e+03	1.083227051276752e+01
1	4.118845050323973e+00	2.583546940703580e-01	5.366430145201297e+00	-2.502124100941741e+00	-2.626727722851097e+00	1.370483919010727e+03	1.056031923816247e+01
1	4.196394899353697e+00	2.583118863099846e-01	5.504334362766423e+00	-2.661072198470328e+00	-2.600485880423332e+00	1.331715776979719e+03	1.101037252115463e+01
1	6.391882670821510e+00	2.547859500632447e-01	6.387512522295088e-01	4.798969496659257e+00	-4.901321083383189e+00	3.797406817112771e+03	1.037129282742071e+01
1	3.819516298948077e+00	2.589917014623535e-01	4.717985324481281e+00	-2.108616553757041e+00	-2.404387864461670e+00	1.494428300178565e+03	8.178516409251070e+00
1	5.695830166135834e+00	2.589981228414505e-01	4.034407043309293e+00	-1.785072686394702e+00	-2.054628935863238e+00	1.310401468584792e+03	8.886735498600062e+00
1	3.426725062581518e+00	2.578350501722510e-01	6.574359099276706e+00	-3.204147617407532e+00	-3.119240976275801e+00	2.549832948662890e+03	7.788862304992157e+00
1	4.751490564281375e+00	2.586184195656915e-01	4.328589473223869e+00	-1.943553350803371e+00	-2.166614151340553e+00	1.428294209530645e+03	9.322761154061020e+00
1	7.330702297181403e+00	2.549679865386845e-01	5.893875566828048e-01	3.599126579705950e+00	-3.880542730130886e+00	5.027807210709966e+03	7.150322628491061e+00
1	4.484634634815238e+00	2.578692106972238e-01	5.408461262066977e+00	-2.536080906642256e+00	-2.570302583227852e+00	1.616031573169739e+03	1.109081385550983e+01
1	6.592028331615370e+00	2.605325634940439e-01	7.207598546891412e-01	4.480520020077384e+00	-5.089523436595233e+00	4.590420000000000e+03	4.510800000000000e+00
1	6.206361314524944e+00	2.372681813525760e-01	8.984550123959346e-01	3.564769501666848e+00	-4.076026824957515e+00	1.292150000000000e+04	4.277550000000000e+00
1	5.730033614113506e+00	2.436938930186396e-01	4.693762392633704e+00	-1.942175583797391e+00	-2.237848217943732e+00	1.385170000000000e+04	6.077470000000000e+00
1	6.989452820275970e+00	2.394533010772571e-01	6.342706045339682e-01	2.842157838634809e+00	-3.040503666719148e+00	1.374350000000000e+04	4.941880000000000e+00
1	5.249037243589618e+00	2.580223674088622e-01	2.633906278454989e+00	-1.302040274227570e+00	-1.044263174485353e+00	1.338720000000000e+03	1.290220000000000e+01
1	5.569249837755789e+00	2.575679035834365e-01	1.891955256363199e+00	-7.598509151854598e-01	6.312396633347798e-02	2.600350000000000e+03	1.813720000000000e+01
1	7.295997025726564e+00	2.525204854167334e-01	5.264453568986238e-01	2.983708264371789e+00	-3.027605928899412e+00	5.144580000000000e+03	7.826080000000000e+00
1	6.645533459430955e+00	2.449272909088940e-01	8.710539560087573e-01	3.036090459631590e+00	-3.550604730566044e+00	1.213120000000000e+04	5.000250000000000e+00
1	7.010855753977903e+00	2.373441976916530e-01	8.519346877356896e-01	3.808901432917617e+00	-4.083596584433169e+00	1.138510000000000e+04	5.213560000000000e+00
1	7.423234158022679e+00	2.333864887299465e-01	2.218447292688728e+00	-8.789395957034174e-01	-6.202946269348274e-01	1.445030000000000e+04	5.684730000000000e+00
1	7.008798696890964e+00	2.388454111736634e-01	7.147561219952255e-01	3.893548356235991e+00	-4.120596945403247e+00	1.228420000000000e+04	5.062710000000000e+00
1	4.265901016066818e+00	2.424932533785518e-01	1.464606816600030e+00	1.386366983544428e+00	9.410944822555123e-01	1.431700000000000e+04	1.187150000000000e+01
